user_name,user_id,web,sex,time,play_time,score,comment,phone,huanle,dianzan,dianxia
Florine,3208375,https://www.taptap.com/user/3208375,female,2017-11-17 08:07:50,12分钟,5,纪念碑谷真的是神作中的神作，不管是1还是2，在画质上创意上剧情上都能惊艳到我。真的要给制作团队点很多很多赞啊！虽然2比1玩着简单很多，但是人家开发的时候脑细胞耗费的肯定不比1少啊！一开始以为是母女俩一直一起走到终点的，居然猝不及防地分开了...接着母亲的世界就灰暗了，这点感触好深啊...最后一关的日月交替，很像现在的我跟妈妈，我在法国，妈妈在国内，7小时的时差，所以也非常非常有代入感啊...最最让我惊艳的是果园啊，女儿长大就像是绽放的花朵，太太太美了！看过很多类似的游戏，个人觉得真的没有碑谷如此惊艳。总之值得买值得玩！,三星 Galaxy S6 edge,2,33,5
白莱菌,316712,https://www.taptap.com/user/316712,male,2017-11-15 16:31:16,5分钟,5,除了游戏难度以外，不输纪念碑谷1的游戏，最后的画面让人欣慰而感动，五星好评。纪念碑谷1：山穷水复疑无路，柳暗花明又一村纪念碑谷2：条条大路通罗马虽然这么说，但个人觉得，难度并不足以使这款游戏减分，本来看评论都说简单我也没报太大期望去玩，玩的途中一直很烦躁，一路顺畅到怀疑游戏的价值，直到中途剧情转折时，我的注意力才完全被剧情拉了过去，我想知道接下来的发展，这是1所没有带给我的体验。直白的说，1所吸引我的是它的设定与难度，以及通关过后的成就感。而2通关则是沉浸于剧情所带给我的小小的，温馨的，持久的感动吧。,红米Note 4X,31,168,26
鎏天韶华☄️,15226001,https://www.taptap.com/user/15226001,female,2017-11-14 12:43:13,4分钟,5,确实比1要简单很多，对于空间想象能力技能点满的我来说，这和几何学一样完全就是平推……一共花了差不多40分钟多一点就通关了，并且大部分时间浪费在了通过小关卡后的画画上……总想画个特别漂亮的花花……个人印象最深的就是第二章母女两个人猝不及防分开的那里，一开始玩的时候并没有做过什么功课看什么ios已经玩过的测评，优哉游哉的点击人物移动的时候并没有想过会发生这种突发状况，一下子两个角色分开，就像自己小时候一时半刻见不到自己熟悉的人就会感到不安，特别有感触。那一瞬间无法控制游戏，不能用手机控制建筑的下降，不能阻止将要发生的一切，也不知道在倾倒的建筑上的母亲会不会甩出去 ，会不会受伤——那一瞬间我们无能为力，并且深深的痛恨着自己的无能。也就是那一刻，玩家进入了游戏世界。还有就是中间有一章，打开两边的窗户放进阳光，女儿从一颗大树的顶端绽放——真的是绽放，还有花瓣——那一瞬间就像我们长大了，成人了，从这一章之后，母亲出现后模式几乎都是女儿先走——照顾与被照顾在绽放的一瞬间，就翻转了。看到她们，就像看到过去的自己，是怎么一路走过来的。纪念碑谷的人物角色还有地图在设计上非常精细，每次转折点两位主人公回头、注视、慌乱、舒心、放手、重逢……用简简单单的画面把复杂的情绪刻画得比真人电影拍摄还生动，地图中出现的树也是具有代表意义的一个象征画面，随着阳光而变，向阳而生，向死而活，成长自己，最后也要成为一个母亲，将新生托举至阳光。,三星 Galaxy S4,22,90,38
太二酱,8067223,https://www.taptap.com/user/8067223,gender-empty,2017-11-17 18:05:07,1小时40分钟,5,依旧是唯美的画风和视觉差。个人原因并没有觉得难度上的一些感受。剧情也是设置的不负众望。玩过1，所以对于2的期待其实还是很高的。本作中其实个人还是比较喜欢自绘图案和双子操作的，分分合合，还有与图腾的重逢都是自己很喜欢的地方，值得一玩。,红米Note 3,,2,
周朝的矮个巨人,398164,https://www.taptap.com/user/398164,female,2017-11-15 12:57:57,59分钟,5,本打算等到热度都过了才慢慢来玩，结果发现它久热不衰啊哈哈哈～比起第一部，关数比较少，玩的不过瘾，但不知为何感触更深。画面精美，BGM优美，音效很好（最喜欢脚步声了）这整个游戏最喜欢的就是最后面那个随意变换形状的了，真的很喜欢。,荣耀畅玩6X,,12,3
嗷呜,15641335,https://www.taptap.com/user/15641335,female,2017-11-15 22:25:16,24分钟,4,第二部，首先画面和音效比第一部感觉要好，脚步声比第一部更有感觉，更真实贴近游戏，以及最后结束时的自己绘图很棒，其次就是我听说的游戏难度，之前看过一个很中肯的评价说，不是变简单了，只是比起第一部带给我们的惊喜少了，游戏玩法没有什么太多变化，我也觉得是这样。这一部里，后面用光影响树叶生长的这部分，我感觉就很有意思，很有创意，同样我很喜欢的还有积木（暂且这么叫吧😂）的嫁接转移，通过转移接触来创造前进的道路，很是让人喜欢的玩法。总而言之，比起第一部带来的惊喜，我感觉更多的是一个游戏的延续，新创意和亮点还是少了点，但是还是很棒，毕竟想新点子也很难～(￣▽￣～)~希望还能继续出下去～,华为 荣耀7,,6,2
想回谷的咸鱼君X的替身,2471041,https://www.taptap.com/user/2471041,gender-empty,2017-11-13 22:06:43,24分钟,5,[剧透注意？]↓↓↓↓↓↓↓当我玩到小人乘船离开的时候，心里感触很深……因为不晓得究竟是不是应该这样理解。但是——我是因为我这样想着，受到了触动。所以……就，随便写写这样的印象。曾经是大人带着孩子走向远方大人的步伐牵动着孩子的脚步孩子是大人的倒影后来孩子渐渐成长勇气逐渐成为孩子的力量大人独自坐在塔上歌唱孩子不再是稚嫩的彷徨换过来是孩子寻觅大人的方向后来的后来孩子坐上了小小的船扬起了小小的帆大人与孩子分别的时候花瓣像是船月亮落下了光亮,华为P10 Plus,8,51,10
卷毛呆呆,3975335,https://www.taptap.com/user/3975335,gender-empty,2017-11-13 20:11:20,8分钟,4,刚出第二天买的，刚刚才通关，emmmmmm……八分钟通关？感觉二代没一代这么烧脑了，简单了很多，在玩过一代的情况下，个人认为是不如一代的，所以24块有点贵了(눈_눈)希望能出扩展，或者出3能更有心意一些，这里给予四分表示并不过分～（严厉点才会有更好的续作∠( ᐛ 」∠)＿）,三星 Galaxy C5,2,20,7
活着的风,2038617,https://www.taptap.com/user/2038617,gender-empty,2017-11-12 19:34:16,1小时22分钟,5,确确实实是不错的游戏，画面音乐没得说，剧情线较前作更为清晰。惊艳感的话确实有些不如前作，毕竟是同样的风格体系，加上前作神级，实在难以超越，能保持水平就是不错的发挥了。难度较前作有所降低，这个调整不太好评价，有优有劣吧。好处是不会卡关，能更好的融入小女孩的成长之旅中。但对于期待烧脑的玩家，就有点失望了。再就是剧情，二代主线很明确，成长。从懵懵懂懂只会跟在母亲身后的女孩，到独当一面，挑起全族重担之人。整体的画面音乐，都有一种明快，新生，成长的感觉。阳光，树木，都是颇有主线特色的亮点。但同时，太明显的主线也成为了一定的限制。比起一代，少了些东西。相反一代虽以救赎为主线，但仅仅是主线关卡画面音乐中透出的若有若无的孤寂，忧伤，顶多加上幽灵几句晦涩的讽刺和挖苦。直至最后才透露的答案。确确实实给了当年的我一份震撼。还有艾达的梦那几个关卡，有宁静，有荒诞，有治愈，也有致郁。虽无关主线，但也确确实实吸引了我。也不是说怎样，二代同样是成功的手游。只能说一代太过成功，玩家对二代抱了太大期待，却不免有些失望。当然，还是希望制作组能有些后续的更新。哪怕是彩蛋，都是值得高兴的。最后，是想说说某些看见腾讯代理，看见要花钱就跳脚的人。这部游戏，我认为代理的是很成功的，没有乱加什么签到，广告，内购礼包。干干净净的给了你一个纪念碑谷（反面例子详见瘟疫公司，好好的毁灭世界黑色幽默的游戏，愣是被代理商搞出页游风格。无语）。唯一有腾讯影子的，也就是个QQ登录而已。当时活动期间18后来24，真不算贵了。在其他手游里，这连月卡都买不了一张好吧。说别人土豪，说腾讯吃相难看的。我只能说，国人真的是盗版产品用多了。能随随便便氪个v11，却不愿意买个正版产品。有些东西，有些想法，真的得改改了。,华为荣耀7,12,90,17
菡舍,511563,https://www.taptap.com/user/511563,male,2017-11-17 16:42:18,,5,国际版售价4.99美元，先给钱后玩，腾讯只收了25rmb（折扣18）还让你先玩三关，这坑？登陆？云挡不要了吗？谷歌上还不是要登陆谷歌账号，难度是低了不少，关卡也少（第一部刚出的时候才十关，剩下的都是后续加的，说不定二还要更新），亲子？我只看到了几句鸡汤，什么是亲子你自己不知道吗？要个游戏告诉你?我觉得这游戏好我愿意买，玩一的时候没钱，现在有钱了我就是买，我就是给五星，怎么了？觉得腾讯不好先把QQ微信给我卸载了，QQ会员是逼着你开的？腾讯游戏是逼着你玩的？,LGE LGLS992,,3,
